Algorithm,N,# Iterations,Param1,Param2,Param3,Fitness Score,Train time,Test time
GA,50,1000,2000,1500,250,0.17198,5.463,0
GA,50,1000,2000,1500,250,0.15586,5.93,0
GA,100,1000,2000,1500,250,0.10026,10.758,0.001
MIMIC,50,1000,500,100,,0.11466,26.381,0.009
MIMIC,50,1000,500,100,,0.10482,26.183,0.008
MIMIC,100,1000,500,100,,0.05196,266.273,0.04
RHC,50,200000,,,,0.1179,0.21,0.002
RHC,50,200000,,,,0.10715,0.216,0.002
RHC,100,200000,,,,0.08065,0.315,0.002
SA,50,200000,1000000000000.0,0.999,,0.13124,0.239,0
SA,50,200000,1000000000000.0,0.999,,0.12915,0.232,0.001
SA,100,200000,1000000000000.0,0.999,,0.08457,0.427,0.001
RHC,100,200000,,,,0.07969,0.332,0.002
SA,100,200000,1000000000000.0,0.999,,0.06262,0.303,0.0
GA,100,1000,2000,1500,250,0.10143,9.824,0.001
MIMIC,100,1000,500,100,,0.05842,259.337,0.031
RHC,50,200000,,,,0.1082,0.21,0.002
SA,50,200000,1000000000000.0,0.999,,0.11183,0.198,0.0
GA,50,5000,2000,1500,250,0.15114,26.466,0.0
MIMIC,50,200,500,100,,0.09325,5.333,0.007
RHC,150,200000,,,,0.05193,0.562,0.002
SA,150,200000,1000000000000.0,0.999,,0.05359,0.447,0.001
GA,150,1000,2000,1500,250,0.08698,17.858,0.001
MIMIC,150,200,500,100,,0.02855,233.425,0.063
RHC,70,200000,,,,0.08859,0.277,0.002
SA,70,200000,1000000000000.0,0.999,,0.0931,0.356,0.0
GA,70,1000,2000,1500,250,0.12667,9.081,0.0
MIMIC,70,200,500,10,,0.0686,14.495,0.014
RHC,80,200000,,,,0.08782,0.327,0.003
SA,80,200000,1000000000000.0,0.999,,0.08669,0.307,0.0
GA,80,1000,2000,1500,250,0.11377,10.708,0.001
MIMIC,80,200,500,10,,0.0619,21.834,0.029
RHC,40,200000,,,,0.13925,0.176,0.002
SA,40,200000,1000000000000.0,0.999,,0.15548,0.212,0.0
GA,40,1000,2000,1500,250,0.16415,5.059,0.0
MIMIC,40,200,500,10,,0.10254,2.972,0.006
